Title,average_rating,ratings_count,Amazon Link,Author,Author Gender,Book Type,Fiction / Non-Fiction,Genre,Publish Year,Rank (copy),Rank Year,Reason,Reason (Consolidated),Title (copy),Page Count,Points,Rank,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Initiating Action,bookID,title,authors,isbn,isbn13,language_code,  num_pages,text_reviews_count,publication_date,publisher
The Absolutely True Diary of a Part-Time Indian,4.06,276064,https://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692,Sherman Alexie,Man,Book,Fiction,Bildungsroman,2007,1,2014,"anti-family, cultural insensitivity, drugs/alcohol/smoking, gambling, offensive language, sex education, sexually explicit, unsuited for age group, violence. Additional reasons: “depictions of bullying”",,The Absolutely True Diary of a Part-Time Indian,230,10,1,,,,,,,,,,,,,,,,,,,
The Absolutely True Diary of a Part-Time Indian,4.06,276064,https://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692,Sherman Alexie,Man,Book,Fiction,Bildungsroman,2007,2,2017,"Consistently challenged since its publication in 2007 for acknowledging issues such as poverty, alcoholism, and sexuality, this National Book Award winner was challenged in school curriculums because of offensive language and situations that were deemed sexually explicit.",,The Absolutely True Diary of a Part-Time Indian,230,9,2,,,,,,,,,,,,,,,,,,,
The Absolutely True Diary of a Part-Time Indian,4.06,276064,https://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692,Sherman Alexie,Man,Book,Fiction,Bildungsroman,2007,2,2012,"offensive language, racism, sexually explicit, unsuited for age group",,The Absolutely True Diary of a Part-Time Indian,230,9,2,,,,,,,,,,,,,,,,,,,
The Absolutely True Diary of a Part-Time Indian,4.06,276064,https://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692,Sherman Alexie,Man,Book,Fiction,Bildungsroman,2007,3,2013,"drugs/alcohol/smoking, offensive language, racism, sexually explicit, unsuited for age group",,The Absolutely True Diary of a Part-Time Indian,230,8,3,,,,,,,,,,,,,,,,,,,
The Absolutely True Diary of a Part-Time Indian,4.06,276064,https://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692,Sherman Alexie,Man,Book,Fiction,Bildungsroman,2007,5,2020,"Banned and challenged for profanity, sexual references, and allegations of sexual misconduct by the author",,The Absolutely True Diary of a Part-Time Indian,230,6,5,,,,,,,,,,,,,,,,,,,
The Absolutely True Diary of a Part-Time Indian,4.06,276064,https://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692,Sherman Alexie,Man,Book,Fiction,Bildungsroman,2007,6,2021,"Banned and challenged for profanity, sexual references and use of a derogatory term",,The Absolutely True Diary of a Part-Time Indian,230,5,6,,,,,,,,,,,,,,,,,,,
The Absolutely True Diary of a Part-Time Indian,4.06,276064,https://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692,Sherman Alexie,Man,Book,Fiction,Bildungsroman,2007,9,2018,"banned and challenged for sexual references, profanity, violence, gambling, and underage drinking, and for its religious viewpoint",,The Absolutely True Diary of a Part-Time Indian,230,2,9,,,,,,,,,,,,,,,,,,,
The Bluest Eye,4.03,132233,https://www.amazon.com/Bluest-Eye-Vintage-International/dp/0307278441,Toni Morrison,Woman,Book,Fiction,African-American,1970,2,2013,"offensive language, sexually explicit, unsuited for age group, violence",,The Bluest Eye,224,9,2,,,,,Wisconsin,Menomonee Falls Schools,October 2023,Banned,Formal Challenge,11337,The Bluest Eye,Toni Morrison,452287065,9780452287068,eng,216,5507,9/6/2005,Plume
The Bluest Eye,4.03,132233,https://www.amazon.com/Bluest-Eye-Vintage-International/dp/0307278441,Toni Morrison,Woman,Book,Fiction,African-American,1970,4,2014,"sexually explicit, unsuited for age group, political. Additional reasons: “contains controversial issues”",,The Bluest Eye,224,7,4,,,,,Wisconsin,Menomonee Falls Schools,October 2023,Banned,Formal Challenge,11337,The Bluest Eye,Toni Morrison,452287065,9780452287068,eng,216,5507,9/6/2005,Plume
The Bluest Eye,4.03,132233,https://www.amazon.com/Bluest-Eye-Vintage-International/dp/0307278441,Toni Morrison,Woman,Book,Fiction,African-American,1970,8,2021,Banned and challenged because it depicts child sexual abuse and was considered sexually explicit,,The Bluest Eye,224,3,8,,,,,Wisconsin,Menomonee Falls Schools,October 2023,Banned,Formal Challenge,11337,The Bluest Eye,Toni Morrison,452287065,9780452287068,eng,216,5507,9/6/2005,Plume
